id,dosya,label,score
0,crop_0000.png,DEFECT,11.6612
1,crop_0001.png,DEFECT,13.3627
2,crop_0002.png,DEFECT,11.3713
3,crop_0003.png,DEFECT,11.6592
4,crop_0004.png,DEFECT,11.7348
5,crop_0005.png,DEFECT,13.2190
6,crop_0006.png,DEFECT,11.4105
7,crop_0007.png,DEFECT,11.6038
8,crop_0008.png,DEFECT,11.7079
9,crop_0009.png,DEFECT,12.7250
10,crop_0010.png,DEFECT,11.3659
11,crop_0011.png,DEFECT,11.8055
12,crop_0012.png,DEFECT,11.7650
13,crop_0013.png,DEFECT,13.0817
14,crop_0014.png,DEFECT,11.4179
15,crop_0015.png,DEFECT,11.6027
16,crop_0016.png,DEFECT,11.6437
17,crop_0017.png,DEFECT,12.9249
18,crop_0018.png,DEFECT,11.4455
19,crop_0019.png,DEFECT,11.6362
20,crop_0020.png,DEFECT,11.7264
21,crop_0021.png,DEFECT,12.8183
22,crop_0022.png,DEFECT,11.4009
23,crop_0023.png,DEFECT,11.6454
24,crop_0024.png,DEFECT,11.7127
25,crop_0025.png,DEFECT,12.9738
26,crop_0026.png,DEFECT,11.4156
27,crop_0027.png,DEFECT,11.6150
28,crop_0028.png,DEFECT,11.7116
29,crop_0029.png,DEFECT,13.2499
30,crop_0030.png,DEFECT,11.4095
31,crop_0031.png,DEFECT,11.6536
32,crop_0032.png,DEFECT,11.6067
33,crop_0033.png,DEFECT,13.4384
34,crop_0034.png,DEFECT,11.3924
35,crop_0035.png,DEFECT,11.7525
36,crop_0036.png,DEFECT,11.8272
37,crop_0037.png,DEFECT,13.1078
38,crop_0038.png,DEFECT,11.4215
39,crop_0039.png,DEFECT,11.6089
40,crop_0040.png,DEFECT,11.6762
41,crop_0041.png,DEFECT,13.3529
42,crop_0042.png,DEFECT,11.3846
43,crop_0043.png,DEFECT,11.6513
44,crop_0044.png,DEFECT,11.7421
45,crop_0045.png,DEFECT,13.4127
46,crop_0046.png,DEFECT,11.4003
47,crop_0047.png,DEFECT,11.5680
48,crop_0048.png,DEFECT,11.7493
49,crop_0049.png,DEFECT,13.2580
50,crop_0050.png,DEFECT,11.4011
51,crop_0051.png,DEFECT,11.6503
52,crop_0052.png,DEFECT,11.6117
53,crop_0053.png,DEFECT,13.3706
54,crop_0054.png,DEFECT,11.3934
55,crop_0055.png,DEFECT,11.6868
56,crop_0056.png,DEFECT,11.6939
57,crop_0057.png,DEFECT,12.7750
58,crop_0058.png,DEFECT,11.4332
59,crop_0059.png,DEFECT,11.6452
60,crop_0060.png,DEFECT,11.7755
61,crop_0061.png,DEFECT,12.9187
62,crop_0062.png,DEFECT,11.4795
63,crop_0063.png,DEFECT,11.5965
64,crop_0064.png,DEFECT,11.6318
65,crop_0065.png,DEFECT,13.1366
66,crop_0066.png,DEFECT,11.4069
67,crop_0067.png,DEFECT,11.6796
68,crop_0068.png,DEFECT,11.5991
69,crop_0069.png,DEFECT,13.3990
70,crop_0070.png,DEFECT,11.3674
71,crop_0071.png,DEFECT,11.6794
72,crop_0072.png,DEFECT,11.6564
73,crop_0073.png,DEFECT,12.9378
74,crop_0074.png,DEFECT,11.4504
75,crop_0075.png,DEFECT,11.6669
76,crop_0076.png,DEFECT,11.6523
77,crop_0077.png,DEFECT,12.9526
78,crop_0078.png,DEFECT,11.4234
79,crop_0079.png,DEFECT,11.6678
80,crop_0080.png,DEFECT,11.6933
81,crop_0081.png,DEFECT,12.7608
82,crop_0082.png,DEFECT,11.4378
83,crop_0083.png,DEFECT,11.6247
84,crop_0084.png,DEFECT,11.7113
85,crop_0085.png,DEFECT,13.2203
86,crop_0086.png,DEFECT,11.4243
87,crop_0087.png,DEFECT,11.6579
88,crop_0088.png,DEFECT,11.8054
89,crop_0089.png,DEFECT,13.1002
90,crop_0090.png,DEFECT,11.4430
91,crop_0091.png,DEFECT,11.5953
92,crop_0092.png,DEFECT,11.8409
93,crop_0093.png,DEFECT,13.0664
94,crop_0094.png,DEFECT,11.4427
95,crop_0095.png,DEFECT,11.6288
96,crop_0096.png,DEFECT,11.6137
97,crop_0097.png,DEFECT,13.3891
98,crop_0098.png,DEFECT,11.3700
99,crop_0099.png,DEFECT,11.7037
100,crop_0100.png,DEFECT,11.8979
101,crop_0101.png,DEFECT,13.0301
102,crop_0102.png,DEFECT,11.4774
103,crop_0103.png,DEFECT,11.6924
104,crop_0104.png,DEFECT,11.7765
105,crop_0105.png,DEFECT,13.1354
106,crop_0106.png,DEFECT,11.3912
107,crop_0107.png,DEFECT,11.6195
108,crop_0108.png,DEFECT,11.6876
109,crop_0109.png,DEFECT,13.1182
110,crop_0110.png,DEFECT,11.3732
111,crop_0111.png,DEFECT,11.6278
112,crop_0112.png,DEFECT,11.6892
113,crop_0113.png,DEFECT,13.0978
114,crop_0114.png,DEFECT,11.4334
115,crop_0115.png,DEFECT,11.6656
116,crop_0116.png,DEFECT,11.5657
117,crop_0117.png,DEFECT,13.1894
118,crop_0118.png,DEFECT,11.3820
119,crop_0119.png,DEFECT,11.7778
120,crop_0120.png,DEFECT,11.6864
121,crop_0121.png,DEFECT,13.2332
122,crop_0122.png,DEFECT,11.4087
123,crop_0123.png,DEFECT,11.6462
124,crop_0124.png,DEFECT,11.7018
125,crop_0125.png,DEFECT,12.9487
126,crop_0126.png,DEFECT,11.4035
127,crop_0127.png,DEFECT,11.6342
128,crop_0128.png,DEFECT,11.6987
129,crop_0129.png,DEFECT,13.1705
130,crop_0130.png,DEFECT,11.4098
131,crop_0131.png,DEFECT,11.6356
132,crop_0132.png,DEFECT,11.6314
133,crop_0133.png,DEFECT,13.3429
134,crop_0134.png,DEFECT,11.3716
135,crop_0135.png,DEFECT,11.6846
136,crop_0136.png,DEFECT,11.6445
137,crop_0137.png,DEFECT,12.7810
138,crop_0138.png,DEFECT,11.4109
139,crop_0139.png,DEFECT,11.6580
140,crop_0140.png,DEFECT,11.8257
141,crop_0141.png,DEFECT,12.8192
142,crop_0142.png,DEFECT,11.4390
143,crop_0143.png,DEFECT,11.6283
144,crop_0144.png,DEFECT,12.0143
145,crop_0145.png,DEFECT,13.1569
146,crop_0146.png,DEFECT,11.3955
147,crop_0147.png,DEFECT,11.6090
148,crop_0148.png,DEFECT,11.7846
149,crop_0149.png,DEFECT,12.7865
150,crop_0150.png,DEFECT,11.4190
151,crop_0151.png,DEFECT,11.6531
152,crop_0152.png,DEFECT,11.7414
153,crop_0153.png,DEFECT,12.7821
154,crop_0154.png,DEFECT,11.4100
155,crop_0155.png,DEFECT,11.6119
156,crop_0156.png,DEFECT,11.6807
157,crop_0157.png,DEFECT,13.2177
158,crop_0158.png,DEFECT,11.2888
159,crop_0159.png,DEFECT,11.5826
160,crop_0160.png,DEFECT,11.8893
161,crop_0161.png,DEFECT,13.0532
162,crop_0162.png,DEFECT,11.4100
163,crop_0163.png,DEFECT,11.6111
164,crop_0164.png,DEFECT,11.6448
165,crop_0165.png,DEFECT,13.2859
166,crop_0166.png,DEFECT,11.3162
167,crop_0167.png,DEFECT,11.6215
168,crop_0168.png,DEFECT,11.5947
169,crop_0169.png,DEFECT,12.9885
170,crop_0170.png,DEFECT,11.3337
171,crop_0171.png,DEFECT,11.7145
172,crop_0172.png,DEFECT,11.7214
173,crop_0173.png,DEFECT,13.0994
174,crop_0174.png,DEFECT,11.3810
175,crop_0175.png,DEFECT,11.6542
176,crop_0176.png,DEFECT,11.7074
177,crop_0177.png,DEFECT,12.8284
178,crop_0178.png,DEFECT,11.4397
179,crop_0179.png,DEFECT,11.6884
180,crop_0180.png,DEFECT,11.7096
181,crop_0181.png,DEFECT,12.6180
182,crop_0182.png,DEFECT,11.4319
183,crop_0183.png,DEFECT,11.6307
184,crop_0184.png,DEFECT,11.6914
185,crop_0185.png,DEFECT,13.1774
186,crop_0186.png,DEFECT,11.4034
187,crop_0187.png,DEFECT,11.6590
188,crop_0188.png,DEFECT,11.7012
189,crop_0189.png,DEFECT,13.0344
190,crop_0190.png,DEFECT,11.3437
191,crop_0191.png,DEFECT,11.6124
192,crop_0192.png,DEFECT,11.7190
193,crop_0193.png,DEFECT,13.1907
194,crop_0194.png,DEFECT,11.4100
195,crop_0195.png,DEFECT,11.6660
196,crop_0196.png,DEFECT,11.7345
197,crop_0197.png,DEFECT,12.6690
198,crop_0198.png,DEFECT,11.3553
199,crop_0199.png,DEFECT,11.7537
200,crop_0200.png,DEFECT,11.7238
201,crop_0201.png,DEFECT,13.2216
202,crop_0202.png,DEFECT,11.3583
203,crop_0203.png,DEFECT,11.6301
204,crop_0204.png,DEFECT,11.7648
205,crop_0205.png,DEFECT,12.7521
206,crop_0206.png,DEFECT,11.3554
207,crop_0207.png,DEFECT,11.6917
208,crop_0208.png,DEFECT,11.6887
209,crop_0209.png,DEFECT,13.2707
210,crop_0210.png,DEFECT,11.3126
211,crop_0211.png,DEFECT,11.6397
212,crop_0212.png,DEFECT,11.8044
213,crop_0213.png,DEFECT,13.1292
214,crop_0214.png,DEFECT,11.4353
215,crop_0215.png,DEFECT,11.6561
216,crop_0216.png,DEFECT,11.7097
217,crop_0217.png,DEFECT,12.8445
218,crop_0218.png,DEFECT,11.3226
219,crop_0219.png,DEFECT,11.7507
220,crop_0220.png,DEFECT,11.6368
221,crop_0221.png,DEFECT,13.3582
222,crop_0222.png,DEFECT,11.3188
223,crop_0223.png,DEFECT,11.6929
224,crop_0224.png,DEFECT,11.6934
225,crop_0225.png,DEFECT,12.9309
226,crop_0226.png,DEFECT,11.4001
227,crop_0227.png,DEFECT,11.6242
228,crop_0228.png,DEFECT,11.7218
229,crop_0229.png,DEFECT,12.6282
230,crop_0230.png,DEFECT,11.3841
231,crop_0231.png,DEFECT,11.6634
232,crop_0232.png,DEFECT,11.6617
233,crop_0233.png,DEFECT,13.4105
234,crop_0234.png,DEFECT,11.2891
